file,column,note
means and SDs.csv,stimulus_x,The stimuli designated as x for the formation of stimuli below.
means and SDs.csv,stimulus_y,The stimuli designated as y for the formation of stimuli below.
means and SDs.csv,n,Number of ratings of each statement
means and SDs.csv,x_causes_y_mean,"Mean rating (1 = strongly disagree to 5 = strongly agree) of statements formatulated as ""x causes y""."
means and SDs.csv,x_prevents_y_mean,"Mean rating of statements formatulated as ""x prevents y""."
means and SDs.csv,y_causes_x_mean,"Mean rating of statements formatulated as ""y causes x""."
means and SDs.csv,y_prevents_x_mean,"Mean rating of statements formatulated as ""y prevents x""."
means and SDs.csv,x_causes_y_sd,"Standard deviation of statements formatulated as ""x causes y""."
means and SDs.csv,x_prevents_y_sd,"Standard deviation of statements formatulated as ""x prevents y""."
means and SDs.csv,y_causes_x_sd,"Standard deviation of statements formatulated as ""y causes x""."
means and SDs.csv,y_prevents_x_sd,"Standard deviation of statements formatulated as ""y prevents x""."
irreversibility.csv,statement,Statement formulation
irreversibility.csv,relation,Causal relation employed in statement
irreversibility.csv,es,"Standardized differences (Cohen's d effect size) between ratings of matched pairs of statements where the causal relation is reversed but the order kept static, e.g., ""x causes y"" vs. ""x prevents y"". If confidence interval does not include zero, causality between the causal relation is non-reversible along this causal direction."
irreversibility.csv,es_ci_lower,lower 99% CI on the above
irreversibility.csv,es_ci_upper,upper 99% CI on the above
unidirectionality.csv,statement,Statement formulation
unidirectionality.csv,relation,Causal relation employed in statement
unidirectionality.csv,es,"Standardized differences (Cohen's d effect size) between ratings of matched pairs of statements where the causal relation is kept static, but the order of the stimuli is reversed, e.g., ""x causes y"" vs. ""y causes x"". If confidence interval does not include zero, causality is unidirectional along this causal relation. "
unidirectionality.csv,es_ci_lower,Lower 99% CI on the above
unidirectionality.csv,es_ci_upper,Upper 99% CI on the above
irreversibility and unidirectionality.csv,statement,Statement formulation
irreversibility and unidirectionality.csv,relation,Causal relation employed in statement
irreversibility and unidirectionality.csv,es,"Four pairwise ES were produced, one for each of the four possible statments that can be generated from a given pair of stimuli (e.g., ""x causes y"", ""x prevents y"", ""y causes x"", and ""y prevents x""). Standardised difference scores (Cohen's ds) were then produced for each statement and the pooled ratings of the other three. This value therefore represents a statement's combined non-reversibility and uni-directionality. If confidence interval does not include zero, causality is both unidirectional and non-reversible. "
irreversibility and unidirectionality.csv,es_ci_lower,Lower 99% CI on the above
irreversibility and unidirectionality.csv,es_ci_upper,Upper 99% CI on the above
irreversibility and unidirectionality - highest difference per stimulus group.csv,statement,Statement formulation
irreversibility and unidirectionality - highest difference per stimulus group.csv,relation,Causal relation employed in statement
irreversibility and unidirectionality - highest difference per stimulus group.csv,diff_es,"Four pairwise ES were produced, one for each of the four possible statments that can be generated from a given pair of stimuli (e.g., ""x causes y"", ""x prevents y"", ""y causes x"", and ""y prevents x""). Standardised difference scores (Cohen's ds) were then produced for each statement and the pooled ratings of the other three. Finally, for each group of four statements, a difference score was calculated between the statement with the largest ES and the sum of the other three ESs. The confidence interval refers to the 99% CI on the highest CI only, and the zero score therefore represents the sum of the other three ES. This value therefore represents the most non-reversible and unidirectional statement in each group, and allows one to rank these statements for their relative non-reversibility and uni-directionality. If confidence interval does not include zero AND effect size is positive, the statement's causality is both unidirectional and non-reversible, and is superior to the sum of the other three statements in the stimulus group. Such statements may be useful when uncontroversial, irreversible, and unidirectional causality statements are needed. "
irreversibility and unidirectionality - highest difference per stimulus group.csv,diff_es_ci_lower,Lower 99% CI on the above
irreversibility and unidirectionality - highest difference per stimulus group.csv,diff_es_ci_upper,Upper 99% CI on the above
