identifier,statement_ID,survey,stimulus_x,stimulus_y,trial_type,statement,stimuli_group,stimulus_1,relation,stimulus_2
1,statement_56,a,admiration,complements,x_causes_y,admiration causes complements,admiration_complements,admiration,causes,complements
2,statement_129,b,admiration,complements,x_prevents_y,admiration prevents complements,admiration_complements,admiration,prevents,complements
129,statement_255,b,admiration,complements,y_causes_x,complements cause admiration,admiration_complements,complements,causes,admiration
130,statement_180,b,admiration,complements,y_prevents_x,complements prevent admiration,admiration_complements,complements,prevents,admiration
65,statement_210,b,agreement,conflict,x_causes_y,agreement causes conflict,agreement_conflict,agreement,causes,conflict
66,statement_60,a,agreement,conflict,x_prevents_y,agreement prevents conflict,agreement_conflict,agreement,prevents,conflict
193,statement_206,b,agreement,conflict,y_causes_x,conflict causes agreement,agreement_conflict,conflict,causes,agreement
194,statement_175,b,agreement,conflict,y_prevents_x,conflict prevents agreement,agreement_conflict,conflict,prevents,agreement
67,statement_18,a,anger,intimacy,x_causes_y,anger causes intimacy,anger_intimacy,anger,causes,intimacy
68,statement_163,b,anger,intimacy,x_prevents_y,anger prevents intimacy,anger_intimacy,anger,prevents,intimacy
195,statement_29,a,anger,intimacy,y_causes_x,intimacy causes anger,anger_intimacy,intimacy,causes,anger
196,statement_35,a,anger,intimacy,y_prevents_x,intimacy prevents anger,anger_intimacy,intimacy,prevents,anger
3,statement_117,a,anger,violence,x_causes_y,anger causes violence,anger_violence,anger,causes,violence
4,statement_155,b,anger,violence,x_prevents_y,anger prevents violence,anger_violence,anger,prevents,violence
131,statement_134,b,anger,violence,y_causes_x,violence causes anger,anger_violence,violence,causes,anger
132,statement_63,a,anger,violence,y_prevents_x,violence prevents anger,anger_violence,violence,prevents,anger
5,statement_28,a,beauty,attraction,x_causes_y,beauty causes attraction,beauty_attraction,beauty,causes,attraction
6,statement_152,b,beauty,attraction,x_prevents_y,beauty prevents attraction,beauty_attraction,beauty,prevents,attraction
133,statement_86,a,beauty,attraction,y_causes_x,attraction causes beauty,beauty_attraction,attraction,causes,beauty
134,statement_97,a,beauty,attraction,y_prevents_x,attraction prevents beauty,beauty_attraction,attraction,prevents,beauty
69,statement_41,a,brushing,toothaches,x_causes_y,brushing causes toothaches,brushing_toothaches,brushing,causes,toothaches
70,statement_139,b,brushing,toothaches,x_prevents_y,brushing prevents toothaches,brushing_toothaches,brushing,prevents,toothaches
197,statement_142,b,brushing,toothaches,y_causes_x,toothaches cause brushing,brushing_toothaches,toothaches,causes,brushing
198,statement_241,b,brushing,toothaches,y_prevents_x,toothaches prevent brushing,brushing_toothaches,toothaches,prevents,brushing
7,statement_10,a,cancer,death,x_causes_y,cancer causes death,cancer_death,cancer,causes,death
8,statement_194,b,cancer,death,x_prevents_y,cancer prevents death,cancer_death,cancer,prevents,death
135,statement_204,b,cancer,death,y_causes_x,death causes cancer,cancer_death,death,causes,cancer
136,statement_44,a,cancer,death,y_prevents_x,death prevents cancer,cancer_death,death,prevents,cancer
9,statement_103,a,cars,pollution,x_causes_y,cars cause pollution,cars_pollution,cars,causes,pollution
10,statement_26,a,cars,pollution,x_prevents_y,cars prevent pollution,cars_pollution,cars,prevents,pollution
137,statement_158,b,cars,pollution,y_causes_x,pollution causes cars,cars_pollution,pollution,causes,cars
138,statement_191,b,cars,pollution,y_prevents_x,pollution prevents cars,cars_pollution,pollution,prevents,cars
71,statement_144,b,certainty,fear,x_causes_y,certainty causes fear,certainty_fear,certainty,causes,fear
72,statement_80,a,certainty,fear,x_prevents_y,certainty prevents fear,certainty_fear,certainty,prevents,fear
199,statement_229,b,certainty,fear,y_causes_x,fear causes certainty,certainty_fear,fear,causes,certainty
200,statement_54,a,certainty,fear,y_prevents_x,fear prevents certainty,certainty_fear,fear,prevents,certainty
